account_id,account_age_days,country,is_fraud,fraud_ring_id,tx_count,tx_amount_sum,tx_amount_mean,tx_amount_std,tx_amount_max,avg_tx_hour,night_tx_ratio,unique_counterparties,device_id,ip_id
A00010,961,US,0,-1,6.0,323.74,53.957,50.499,117.83,15.833,0.0,6.0,D00310,IP00817
A00011,1756,UK,0,-1,1.0,97.25,97.25,0.0,97.25,2.0,1.0,1.0,D00286,IP00549
A00012,1332,US,0,-1,7.0,864.51,123.501,162.608,488.71,14.0,0.143,7.0,D00400,IP00817
A00013,1377,PH,0,-1,73.0,10382.92,142.232,234.556,1000.0,11.562,0.26,73.0,D00217,IP00967
A00014,1299,IN,0,-1,3.0,183.03,61.01,60.4,129.17,7.0,0.333,3.0,D00235,IP00859
A00015,1421,DE,0,-1,1.0,21.8,21.8,0.0,21.8,16.0,0.0,1.0,D00231,IP00813
A00016,938,US,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D00010,IP01051
A00017,256,PH,0,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D00772,IP00877
A00018,1516,IN,0,-1,1.0,6.77,6.77,0.0,6.77,1.0,1.0,1.0,D00197,IP01017
A00019,827,IN,0,-1,14.0,949.42,67.816,68.487,200.0,10.857,0.214,14.0,D00137,IP00503
